PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
Joel Embiid,PHI,68,0.5,1.80%,1.12,0.6,0.1,0.4,40.00%,54.00%,20.60%,8.80%,5.90%,2.90%,44.10%,94
Leandro Bolmaro,MIN,15,0.7,26.20%,0.36,0.3,0.1,0.3,25.00%,25.00%,9.10%,54.50%,0.00%,0.00%,18.20%,0.5
Doug McDermott,SAS,51,0.8,7.40%,0.97,0.7,0.3,0.7,41.20%,52.90%,2.60%,10.30%,2.60%,0.00%,38.50%,81.3
Aleksej Pokusevski,OKC,61,1.2,12.90%,0.51,0.6,0.2,0.7,26.70%,31.10%,8.10%,32.40%,6.80%,1.40%,23.00%,8.3
Max Strus,MIA,68,0.5,5.50%,1.06,0.5,0.2,0.4,46.70%,61.70%,0.00%,14.30%,0.00%,0.00%,40.00%,91.1
Norman Powell,LAC,5,6.2,36.00%,1.16,7.2,2,4.2,47.60%,57.10%,19.40%,12.90%,16.10%,0.00%,51.60%,95.2
Jae Crowder,PHX,67,0.5,5.20%,1.09,0.5,0.2,0.4,46.70%,58.30%,3.00%,9.10%,3.00%,3.00%,42.40%,92.6
Aaron Wiggins,OKC,50,0.9,10.80%,0.78,0.7,0.3,0.7,42.90%,44.30%,8.70%,17.40%,8.70%,2.20%,39.10%,33.6
Aaron Gordon,DEN,75,0.7,4.80%,0.71,0.5,0.2,0.6,34.90%,38.40%,5.90%,13.70%,5.90%,3.90%,31.40%,23.3
Jordan McLaughlin,MIN,62,0.8,19.70%,0.71,0.6,0.2,0.6,33.30%,39.70%,5.90%,19.60%,5.90%,2.00%,29.40%,23.3
Goran Dragic,BKN,16,3.3,33.10%,0.66,2.2,0.9,2.4,39.50%,40.80%,7.50%,20.80%,1.90%,0.00%,35.80%,18.5
Bryn Forbes,SAS,40,1,11.80%,0.83,0.9,0.4,0.9,42.90%,45.70%,2.40%,12.20%,0.00%,0.00%,39.00%,47.6
Chuma Okeke,ORL,70,0.7,7.10%,0.7,0.5,0.2,0.6,28.20%,32.10%,8.50%,8.50%,8.50%,0.00%,31.90%,22
Bruce Brown,BKN,72,0.4,4.40%,1.19,0.4,0.1,0.3,50.00%,52.50%,25.90%,7.40%,25.90%,7.40%,55.60%,96.7
