PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Brandon Clarke,MEM,64,1.3,15.80%,1.36,1.8,0.8,1.1,71.00%,71.00%,17.90%,6.00%,17.90%,7.10%,69.00%,86.9
Trendon Watford,POR,48,1.9,26.00%,1.24,2.4,0.9,1.4,66.20%,68.40%,17.40%,12.00%,18.50%,4.30%,60.90%,73.1
Eric Bledsoe,LAC,54,2.2,19.30%,0.94,2.1,0.7,1.4,50.00%,52.70%,19.80%,25.60%,17.40%,6.60%,43.00%,19.4
Frank Jackson,DET,53,1.6,15.50%,1.3,2.1,0.7,1.3,50.70%,61.60%,19.50%,5.70%,18.40%,4.60%,55.20%,80.2
Kyle Anderson,MEM,69,1.8,21.80%,0.88,1.6,0.7,1.4,50.00%,51.10%,13.40%,16.50%,11.80%,3.90%,45.70%,13
Nassir Little,POR,42,2.3,24.40%,1.16,2.6,1,1.7,58.30%,59.70%,24.00%,9.40%,22.90%,8.30%,58.30%,55.8
Evan Mobley,CLE,69,1.4,9.00%,1.14,1.6,0.7,1.2,63.00%,63.60%,7.20%,13.40%,7.20%,4.10%,55.70%,52.7
Cam Thomas,BKN,67,1.6,17.20%,1.07,1.7,0.6,1.2,48.80%,55.50%,13.50%,9.60%,11.50%,1.90%,50.00%,39.7
Aleksej Pokusevski,OKC,61,1.9,19.70%,0.97,1.8,0.8,1.5,51.70%,56.70%,6.20%,15.00%,5.30%,0.00%,46.00%,23.2
Jae Crowder,PHX,67,1.7,17.60%,0.97,1.6,0.5,1.3,39.80%,48.90%,10.70%,11.60%,9.80%,0.90%,41.10%,23
Isaiah Stewart,DET,71,1,11.90%,1.48,1.5,0.6,0.8,80.40%,81.30%,16.40%,8.20%,15.10%,1.40%,76.70%,94.2
Chuma Okeke,ORL,70,1.5,15.40%,1.06,1.5,0.6,1.2,48.10%,58.00%,7.80%,13.70%,7.80%,1.00%,45.10%,37.5
Nickeil Alexander-Walker,NOP,50,2.1,13.60%,1.05,2.2,0.9,1.8,47.30%,56.00%,4.90%,6.80%,4.90%,0.00%,46.60%,35.7
Jordan Nwora,MIL,62,1.6,18.80%,1.06,1.7,0.7,1.4,48.30%,55.10%,5.90%,7.90%,5.90%,2.00%,46.50%,37.7
Anfernee Simons,POR,57,1.8,11.00%,1.02,1.9,0.7,1.5,46.00%,57.50%,3.80%,12.40%,4.80%,0.00%,41.90%,30.3
Isaiah Roby,OKC,45,1.8,19.70%,1.28,2.4,0.8,1.4,59.70%,64.50%,20.50%,7.20%,19.30%,2.40%,62.70%,78.2
Josh Green,DAL,67,1.2,25.50%,1.28,1.6,0.7,1,70.80%,73.80%,11.00%,14.60%,9.80%,4.90%,62.20%,78.8
Klay Thompson,GSW,32,2.8,13.90%,1.18,3.3,1.2,2.4,48.70%,61.50%,7.90%,6.70%,7.90%,2.20%,48.30%,60.7
Buddy Hield,IND,26,3.5,18.80%,1.17,4,1.6,3,51.90%,64.60%,2.20%,10.00%,1.10%,0.00%,47.80%,57.2
Aaron Wiggins,OKC,50,1.9,22.50%,1.09,2.1,0.9,1.5,58.90%,65.10%,11.50%,15.60%,9.40%,3.10%,51.00%,45.3
Caris LeVert,IND,39,2.6,13.60%,1.01,2.7,1,2,49.40%,53.90%,11.70%,15.50%,10.70%,1.90%,46.60%,29.1
Lamar Stevens,CLE,63,1.4,22.30%,1.18,1.6,0.7,1,66.20%,66.90%,19.50%,12.60%,17.20%,6.90%,60.90%,61.3
Luka Doncic,DAL,65,1.8,6.10%,0.89,1.6,0.6,1.1,50.70%,56.80%,12.10%,28.40%,12.10%,3.40%,39.70%,13.8
Mo Bamba,ORL,71,1.1,10.80%,1.31,1.4,0.5,1,52.80%,65.30%,7.70%,3.80%,7.70%,3.80%,52.60%,81.1
John Collins,ATL,54,1.6,10.90%,1.2,1.9,0.7,1.3,57.10%,65.00%,10.60%,8.20%,7.10%,1.20%,55.30%,64.8
Grant Williams,BOS,77,1.1,16.10%,1.19,1.3,0.5,1.1,48.10%,57.40%,7.00%,2.30%,7.00%,3.50%,48.80%,61.7
