Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Anthony Lamb,24,,,,,,,Two-Way Contract,,Rockets
Trevelin Queen,25,,,,,,,Two-Way Contract,,Rockets
D.J. Augustin,34,"$7,000,000","$333,333",,,,,,"$7,333,333",Rockets
Enes Freedom,30,"$2,641,691",,,,,,,"$2,641,691",Rockets
Armoni Brooks,24,"$1,489,065",,,,,,,"$1,489,065",Rockets
Danuel House Jr.,29,"$1,387,498",,,,,,,"$1,387,498",Rockets
Troy Williams,27,"$122,741","$122,741",,,,,,"$245,482",Rockets
Stephen Curry,34,"$45,780,966","$48,070,014","$51,915,615","$55,761,216","$59,606,817",,Bird Rights,"$261,134,628",Warriors
Klay Thompson,32,"$37,980,720","$40,600,080","$43,219,440",,,,Bird Rights,"$121,800,240",Warriors
Andrew Wiggins,27,"$31,579,390","$33,616,770",,,,,1st Round Pick,"$65,196,160",Warriors
Draymond Green,32,"$24,026,712","$25,806,469","$27,586,225",,,,Bird Rights,"$49,833,181",Warriors
James Wiseman,21,"$9,166,800","$9,603,360","$12,119,440",,,,1st Round Pick,"$18,770,160",Warriors
Jonathan Kuminga,19,"$5,466,360","$5,739,960","$6,012,720","$7,636,154",,,1st Round Pick,"$11,206,320",Warriors
Kevon Looney,26,"$5,178,572",,,,,,Bird Rights,"$5,178,572",Warriors
Moses Moody,20,"$3,562,080","$3,740,160","$3,918,480","$5,803,269",,,1st Round Pick,"$7,302,240",Warriors
Andre Iguodala,38,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Warriors
Otto Porter Jr.,29,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",Warriors
Jordan Poole,23,"$2,161,440","$3,901,399",,,,,1st Round Pick,"$6,062,839",Warriors
Nemanja Bjelica,34,"$2,089,448",,,,,,Minimum Salary,"$2,089,448",Warriors
Gary Payton II,29,"$1,939,350",,,,,,Minimum Salary,"$1,939,350",Warriors
Damion Lee,29,"$1,910,860",,,,,,MLE,"$1,910,860",Warriors
Juan Toscano-Anderson,29,"$1,701,593",,,,,,Minimum Salary,"$1,701,593",Warriors
Quinndary Weatherspoon,25,,,,,,,Two-Way Contract,"$95,930",Warriors
Chris Chiozza,26,,,,,,,Two-Way Contract,,Warriors
Shaun Livingston,36,"$666,667",,,,,,,"$666,667",Warriors
